product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Anker PowerCore Slim 12W A1229,630.000₫,800.000₫,-21%,25,https://www.thegioididong.com/sac-dtdd/pin-du-phong-10000mah-type-c-anker-powercore-a1229,01,,Backup Charger
Anker PowerCore Essential 20W A1287,1.280.000₫,1.600.000₫,-20%,46,https://www.thegioididong.com/sac-dtdd/pin-polymer-20000mah-type-c-pd-20w-anker-a1287,01,,Backup Charger
Xmobile 20W Y73,800.000₫,,,,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-10000mah-type-c-pd-qc3-0-20w-xmobile-y73,02,,Backup Charger
Xmobile 15W PW37Y5B,420.000₫,600.000₫,-30%,87,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-10000mah-c-xmobile-pw37y5b,02,,Backup Charger
Xmobile PowerBox 18W P69D,900.000₫,1.000.000₫,-10%,253,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-20000mah-type-c-xmobile-p69d,02,,Backup Charger
Xmobile PowerLite 20W P181P,855.000₫,950.000₫,-10%,57,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-khong-day-magnetic-type-c-xmobile-powerlite-p181p,02,,Backup Charger
Xmobile PowerSlim 18W PJ JP213,675.000₫,750.000₫,-10%,220,https://www.thegioididong.com/sac-dtdd/sac-du-phong-10000mah-type-c-powerslim-jp213,02,,Backup Charger
Xmobile PowerBox+ 20W JP218,990.000₫,1.100.000₫,-10%,63,https://www.thegioididong.com/sac-dtdd/sac-phong-polymer-20000mah-type-c-pd-qc3-0-20w-xmobile-powerbox-jp218,02,,Backup Charger
Pin sạc dự phòng Polymer 5000mAh Không dây Magnetic Type C PD 20W Xmobile DS611,850.000₫,,,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,02,,Backup Charger
Xmobile PowerBox 18W P72D,720.000₫,900.000₫,-20%,105,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-15000mah-type-c-xmobile-p72d,02,,Backup Charger
Xmobile 18W P68D,525.000₫,750.000₫,-30%,137,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-10000mah-qc30-xmobile-p68d,02,,Backup Charger
Xmobile 12W PJ JP190ST,520.000₫,650.000₫,-20%,84,https://www.thegioididong.com/sac-dtdd/sac-du-phong-10000mah-type-c-xmobile-pj-jp190st,02,,Backup Charger
Xmobile 18W P66D,640.000₫,800.000₫,-20%,177,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-10000mah-type-c-p66d-xam,02,,Backup Charger
Xmobile 10.5W LA Y615N,470.000₫,790.000₫,-40%,166,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-15000mah-xmobile-la-y615n,02,,Backup Charger
Xmobile 10W LJ JP90S,560.000₫,700.000₫,-20%,179,https://www.thegioididong.com/sac-dtdd/10000mah-lightning-xmobile-lj-jp90s-nhom-xam,02,,Backup Charger
Samsung 25W EB-P3400,710.000₫,990.000₫,-28%,18,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-10000mah-type-c-pd-samsung-eb-p3400,03,,Backup Charger
Samsung 25W EB-P3300,630.000₫,990.000₫,-36%,78,https://www.thegioididong.com/sac-dtdd/polymer-10000mah-type-c-25w-samsung-eb-p3300,03,,Backup Charger
Samsung 25W EB-P5300,965.000₫,1.490.000₫,-35%,116,https://www.thegioididong.com/sac-dtdd/polymer-20000mah-type-c-25w-samsung-eb-p5300,03,,Backup Charger
AVA+ 10.5W LA Y68,135.000₫,170.000₫,-20%,179,https://www.thegioididong.com/sac-dtdd/ava-plus-la-y68,04,,Backup Charger
AVA+ 12W PJ JP192,250.000₫,500.000₫,-50%,253,https://www.thegioididong.com/sac-dtdd/ava-pj-jp192,04,,Backup Charger
AVA+ 15W DS2107,300.000₫,600.000₫,-50%,154,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-type-c-ava-ds2107,04,,Backup Charger
AVA+ 10W LJ JP199,135.000₫,170.000₫,-20%,176,https://www.thegioididong.com/sac-dtdd/ava-lj-jp199,04,,Backup Charger
AVA+ 10.5W DS006,250.000₫,500.000₫,-50%,125,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-ava-ds006,04,,Backup Charger
AVA+ 10W JP208,250.000₫,500.000₫,-50%,238,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-ava-plus-jp208,04,,Backup Charger
Pin sạc dự phòng Polymer 10000mAh 12W AVA+ DS609A,500.000₫,,,,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-polymer-10000mah-12w-ava-ds609a,04,,Backup Charger
AVA+ 10W PB100S,300.000₫,600.000₫,-50%,124,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-type-c-ava-pb100s,04,,Backup Charger
AVA+ 12W PJ JP260,300.000₫,600.000₫,-50%,247,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-type-c-ava-pj-jp260,04,,Backup Charger
AVA+ 10W DS005-PP,135.000₫,170.000₫,-20%,174,https://www.thegioididong.com/sac-dtdd/ava-plus-ds005-pp,04,,Backup Charger
AVA PJ JP196,450.000₫,,,89,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-polymer-10000mah-ava-pj-jp196-den,05,,Backup Charger
Belkin Pocket Power 15W BPB011,550.000₫,790.000₫,-30%,12,https://www.thegioididong.com/sac-dtdd/pin-du-phong-polymer-10000-mah-type-c-15w-pd-belkin-pocket-power-bpb011,06,,Backup Charger
Belkin Pocket Power 18W BPB001,570.000₫,950.000₫,-40%,16,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000-mah-type-c-18w-pd-belkin-bpb001,06,,Backup Charger
Belkin Pocket Power 15W BPB011,470.000₫,790.000₫,-40%,11,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000-type-c-15w-belkin-pocket-power,06,,Backup Charger
eSaver 10W PJ JP106S,360.000₫,600.000₫,-40%,291,https://www.thegioididong.com/sac-dtdd/polymer-10000-mah-type-c-esaver-pj-jp106s,07,,Backup Charger
eSaver PJ JP188,600.000₫,,,46,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-polymer-10000mah-lightning-jp188,07,,Backup Charger
eValu 12W PJ JP189SL,300.000₫,600.000₫,-50%,112,https://www.thegioididong.com/sac-dtdd/sac-du-phong-10000mah-lightning-evalu-pj-jp189sl,08,,Backup Charger
Hydrus 20W PB299S,675.000₫,750.000₫,-10%,72,https://www.thegioididong.com/sac-dtdd/pin-10000mah-type-c-pd-qc30-20w-hydrus-pb299s,09,,Backup Charger
Hydrus 10.5W PA CK01,225.000₫,500.000₫,-55%,76,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000-mah-hydrus-pa-ck01,09,,Backup Charger
Hydrus 10W PJ JP196,225.000₫,500.000₫,-55%,39,https://www.thegioididong.com/sac-dtdd/hydrus-pj-jp196,09,,Backup Charger
Energizer 18W UE10047PQ,510.000₫,850.000₫,-40%,61,https://www.thegioididong.com/sac-dtdd/sac-du-phong-10000mah-type-c-energizer-ue10047pq,10,,Backup Charger
Energizer Báo Xám 15W QE10000GY,540.000₫,900.000₫,-40%,25,https://www.thegioididong.com/sac-dtdd/pin-du-phong-c-wireless-energizer-qc10000gy-xam,10,,Backup Charger
Energizer Chiến Binh II 10.5W UE10046,330.000₫,550.000₫,-40%,88,https://www.thegioididong.com/sac-dtdd/pin-du-phong-polymer-10000mah-energizer-ue10046-xa,10,,Backup Charger
OPPO 18W PBT02,685.000₫,980.000₫,-30%,20,https://www.thegioididong.com/sac-dtdd/oppo-pbt02,11,,Backup Charger
Mbest 18W DS506-WB,525.000₫,750.000₫,-30%,99,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-polymer-10000mah-type-c-pd-qc30-m,12,,Backup Charger
